tau,R,V,H,L,Lr,Lc,Uc
0.0,1.4,0.0,0.9,1.0,1.0,0.0,0.7
0.012,1.399991766066677,-0.0013808261869587563,0.8903725957332836,1.3669770552502327,2.5589222703840795,0.17503184011638584,0.7021959793710177
0.023417592161013676,1.399968285192694,-0.0027390256857633575,0.88236288945576,1.2892100335663608,2.40187469137635,0.17654537575637183,0.7042116825724298
0.03590866501996123,1.3999245642845846,-0.00426843756187762,0.8746619706553319,1.2183705757019951,2.258585009156838,0.17815614224715245,0.7063422290063288
0.04946278772122316,1.3998552054352236,-0.0059732818476686865,0.8673499409170884,1.154517216622406,2.129178747345108,0.17985568589970408,0.7085737714311873
0.06416510588738042,1.399753502253988,-0.007869297748663745,0.8604387756046941,1.097084100947782,2.0125204564511634,0.18164774544440085,0.7109084395445809
0.08009842128331969,1.3996114277223957,-0.009972141442753824,0.8539425323835714,1.045573105210927,1.9076110000230058,0.18353521039884824,0.7133469246128342
0.09734826843564091,1.3994194185062891,-0.012297962512672058,0.8478734139736462,0.9995175493164137,1.813514279364539,0.18552081926828856,0.7158893847315821
0.11600225075098482,1.3991661614453619,-0.014863284580335513,0.8422414962080736,0.9584802281523648,1.7293533294132566,0.187607126891473,0.7185353802831531
0.13614978128282448,1.3988383610589306,-0.017684946064093515,0.8370543280156385,0.9220502358302909,1.6543039377852153,0.18979653387536652,0.7212838876175178
0.15788197124262865,1.3984204867949883,-0.020780076735752835,0.8323166260204488,0.8898402417250405,1.5875891417862227,0.1920913416638583,0.7241333403468382
0.18129179093733727,1.3978944935750763,-0.02416613512229506,0.8280300924822679,0.8614841657883452,1.5284744887307773,0.19449384284591317,0.7270817068948081
0.20647462017448415,1.397239504352092,-0.027861031882666996,0.8241933958899834,0.8366352991965567,1.476264144513374,0.19700645387973936,0.7301266082187432
0.23352930973369757,1.3964314366621784,-0.03188336547894307,0.82080234945337,0.8149649129443949,1.4302979286170456,0.1996318972717442,0.733265477579426
0.2625598681327875,1.3954425466653178,-0.03625279568697874,0.8178503145525133,0.7961613802737499,1.3899493206088378,0.20237343993866208,0.7364957616218479
0.2936778726014317,1.3942408539091289,-0.04099057858481149,0.8153288444845179,0.7799298074728169,1.3546244201154491,0.20523519483018482,0.7398151597825734
0.32700568661456336,1.39278939777224,-0.04612028510717776,0.8132285713175605,0.7659921290378633,1.323761763213919,0.20822249486180777,0.7432218980608302
0.3626805586059939,1.3910452614334476,-0.0516687262835137,0.8115403292125677,0.7540875872314701,1.296832821455478,0.211342353007462,0.7467150343783125
0.40085968738470723,1.3889582795969286,-0.057667114261624,0.810256505564088,0.74397349262801,1.2733429539640069,0.21460403129201316,0.7502947966451893
0.4417263739932531,1.386469319438933,-0.06415250091972738,0.8093726206186407,0.735426158185332,1.2528325607052002,0.2180197556654637,0.753962961205219
0.4854974316143646,1.3835079869322613,-0.07116955562423913,0.8088891595758204,0.7282419166134307,1.2348781984637232,0.2216056347631383,0.7577232879269583
0.532432065135255,1.3799895600701828,-0.07877276728374008,0.8088137200613346,0.7222381675088783,1.2190934652198557,0.22538286979790073,0.7615820371910826
